conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.79691876531532E+018,Sat Jun 01 14:59:57 +0000 2024,0,HIMALKOM akan mengadakan OBSESI x MIT tentang hal-hal yang berkaitan dengan IPI dan Kenaikan UKT di Universitas Riau saat ini. ï¸Kunjungan Lembaga pada 23 Mei 2024 Kunjungan Lembaga merupakan program kerja Dinas Sosial dan Lingkungan Hidup yang bertujuan untuk menjalin,1.79691962143996E+018,,himafifmipaunri,in,"Kota Pekanbaru Riau, indonesia",0,1,0,https://x.com/himafifmipaunri/status/1796919621439963315,1247110849,himafifmipaunri
1.79688572080586E+018,Sat Jun 01 14:57:06 +0000 2024,2,@PNS_Ababil Gapapa min Tapera yang dipotong THP yang penting nanti anaknya pas kuliah UKT juga dihitung penghasilan total yang sudah banyak dipotong itu,1.79691890357223E+018,,PNS_Ababil,in,Lor Nagari Segara Kidul ,0,0,0,https://x.com/junoherpito/status/1796918903572226363,1940452248,junoherpito
1.7969187011802E+018,Sat Jun 01 14:56:18 +0000 2024,0,Gak berasa hari cepat berlalu Satu minggu terasa tujuh hari Udah ketemu malam Minggu lagi Mari tetap semangat berkerja Sebagai bentuk peduli kepada negara Yg gak pernah sepi dgn gonjang ganjing segala kebijakannya. Habis UKT Terbitlah TAPERA Reduplah TIMAH 300T #Ruwet https://t.co/T5dCsmcYLw,1.7969187011802E+018,https://pbs.twimg.com/ext_tw_video_thumb/1796918157329965057/pu/img/SNAYZiLpbIbPFTCB.jpg,,in,,0,0,0,https://x.com/Khanza_Dhana/status/1796918701180203049,1008704215,Khanza_Dhana
1.79690366244869E+018,Sat Jun 01 14:55:20 +0000 2024,0,@MightyRoom gak mau ah mau 100 saya udah bayar ukt pak mana naik 200% tuh ukt,1.79691845794835E+018,,MightyRoom,in,Roleplayer purpose.,0,0,0,https://x.com/mingyuovt/status/1796918457948348925,9.17599137272545E+017,mingyuovt
1.79679725624874E+018,Sat Jun 01 14:52:20 +0000 2024,0,@ernestprakasa Tambahan ukt batal naik tapi kemungkinan bisa dinaikin tahun depan kata owi RUU TNI dimana tentara bisa menduduki jabatan sipil RUU polri nantinya polisi punya wewenang spionasi dan sabotase. Ini sangat layak buat koalisi sipil turun jalan,1.79691770591381E+018,,oldnicktr,in,,0,0,0,https://x.com/oldnicktr/status/1796917705913811000,1.22120680057946E+018,oldnicktr
1.7969173357959E+018,Sat Jun 01 14:50:52 +0000 2024,0,Weekend tetep mikirin kumaha indonesia Pendidikan dijadiin komoditas dibilang kebutuhan tersier ga peduli ukt gapeduli menjeritnya rakyat miskin yg mau kuliah nya intina mah kudu bodo terus weh rakyat teh meh cicing teu ngomul dan mereka yang diatas atas nikmatin santuy https://t.co/GqyjXVgJcN,1.7969173357959E+018,https://pbs.twimg.com/media/GO_uyXoa0AAw6YN.jpg,,in,"Bandung, Indonesia",0,0,0,https://x.com/tannadif/status/1796917335795900752,69544078,tannadif
1.79691700945384E+018,Sat Jun 01 14:49:34 +0000 2024,1,Buruh Serukan Aksi Demo 6 Juni di Istana Negara untuk Tolak Tapera Penolakan Program KRIS dan UKT Mahal Juga akan Disuarakan https://t.co/Nfjntfv8LO,1.79691700945384E+018,,,in,,0,0,0,https://x.com/RepelitaO/status/1796917009453842832,1.22543291189932E+018,RepelitaO
1.79691600063145E+018,Sat Jun 01 14:49:13 +0000 2024,0,akhirnya mreka diem2 bikin donasi jadi gak semua temen angkatan di kasih tau hanya beberapa yang sekira nya bisa bantu buat bantu bayar ukt kampus dan kebutuhan dia buat wisuda.,1.79691691945244E+018,,kotakajaibdor,in,indonesia ,0,1,0,https://x.com/kotakajaibdor/status/1796916919452443106,9.63788587362796E+017,kotakajaibdor
1.79635365969526E+018,Sat Jun 01 14:47:01 +0000 2024,0,@Catatan_ali7 @ARSIPAJA Mahasiswanya pd beasiswa kalo demo beasiswa dicabut UKT dinaikkan..ya mana berani,1.79691636718845E+018,,Catatan_ali7,in,,0,0,0,https://x.com/anaklengkong/status/1796916367188447356,1.35639946424465E+018,anaklengkong
1.79626611153476E+018,Sat Jun 01 14:45:58 +0000 2024,0,@avilehurt mmmm sanggup gk bayar ukt 25 jt buat 1 semester ini ingyeah ini kita ngObrOl kgk NORMAL soale kita belum fuluan wOeng anomali â€â†•ï¸,1.79691610129484E+018,,avilehurt,in,Serenata Isaura,0,1,0,https://x.com/taes8n/status/1796916101294838023,8.34087082846978E+017,taes8n
1.79691565694188E+018,Sat Jun 01 14:44:12 +0000 2024,0,RICUH BANGET KAYAK DEMO UKT,1.79691565694188E+018,,,in,She,0,0,0,https://x.com/sebentinie/status/1796915656941875293,1.6424392711887E+018,sebentinie
